"vecNum";"vecVitesses"
1;104,860715046756
1;118,362274373659
1;127,847988682084
1;123,760440525804
1;122,247681129777
1;118,713457478053
2;106,63042032835
2;110,231911781108
2;128,477111625707
2;121,493730632797
2;128,853640560958
2;130,392211566718
3;127,280190297157
3;134,634499003287
3;111,002058154109
3;123,478172266862
3;130,726598340377
3;108,751909474685
4;103,164688477481
4;126,007389231847
4;110,524778264316
4;115,317581364882
4;126,676866939606
4;116,221942556583
5;118,058902857502
5;132,057019451956
5;123,080125019105
5;136,523266340384
5;128,042913484402
5;143,72859861639
6;115,734362988878
6;127,052913281323
6;122,44436295778
6;107,2675517751
6;134,707808524483
6;130,998405714511
7;122,326668884469
7;132,508370223786
7;117,947773774299
7;112,884729430989
7;116,43836164965
7;135,272261036385
8;110,53341423711
8;114,547388719481
8;131,939406018917
8;129,524818601172
8;115,216446394877
8;112,791798792489
9;102,264280557301
9;122,107166453292
9;131,391375396844
9;115,783674754221
9;127,558217728855
9;108,999926630968
10;112,922267665416
10;116,670088712069
10;103,666818712614
10;124,192799434415
10;108,319743164422
10;107,806195418937
11;119,842832086697
11;131,007845962307
11;137,63221910571
11;116,202379454828
11;97,2838268196271
11;115,489823163555
12;112,230159132875
12;132,485869680735
12;120,461675927805
12;108,77801329844
12;133,148951059232
12;125,517437870232
13;104,997377167753
13;108,059465850928
13;124,082243458252
13;142,378076388631
13;137,18203607368
13;132,710270316756
14;107,089367531445
14;124,28021444874
14;126,288696479875
14;115,727788477113
14;104,118209691111
14;118,432078733144
15;130,283331235683
15;120,997925580673
15;118,330601924365
15;118,696690356975
15;101,480527010928
15;113,893415151886
16;114,169920405758
16;120,736168321373
16;114,908052525879
16;117,537575147548
16;122,256058460232
16;132,247867645084
17;115,318434496199
17;118,689465911262
17;128,642549189123
17;109,828325464048
17;127,678983203635
17;108,543029485198
18;107,325332040462
18;115,770534084837
18;109,699873807049
18;112,483498050364
18;128,224898387493
18;120,117346127791
19;116,609316589812
19;127,960621262799
19;117,314372137987
19;112,610743516524
19;128,256759455732
19;108,923436825277
20;103,051154373632
20;135,377496256246
20;122,405170471145
20;98,1945700666297
20;119,784464691747
20;123,817230524665
21;122,519779694389
21;123,456322866513
21;105,396553169893
21;130,575164564689
21;118,697805069785
21;112,778057298053
22;117,782939224203
22;110,419747355749
22;122,16852223569
22;99,9888331938114
22;124,139828136293
22;118,732831942713
23;120,624346410461
23;122,532349005065
23;127,515446849037
23;106,089217331312
23;122,722794504554
23;131,098579618207
24;100,709305879765
24;97,4254340761415
24;130,1255615908
24;142,862522188083
24;122,327278674906
24;117,561789957872
25;136,250546291667
25;114,183030228068
25;115,167922327021
25;99,7806669911106
25;140,491502576561
25;117,44883424086
26;125,305783447645
26;115,172856669513
26;153,94351311002
26;137,11382771045
26;126,39828422466
26;131,056721181389
27;117,529250445009
27;117,783400836415
27;122,045550916528
27;136,568992513552
27;117,548026770972
27;112,631262292625
28;118,29414672218
28;132,528493608719
28;111,09138227997
28;123,521289336505
28;118,215878205692
28;115,110937102969
29;123,28081235513
29;115,818823288361
29;101,904283153873
29;137,656437237291
29;120,340492452912
29;141,599383756368
30;136,916913609872
30;113,162209159399
30;135,903948686798
30;113,960491606036
30;120,042627151732
30;117,873793226554
31;129,50300114839
31;148,002579167881
31;124,375544131167
31;114,710437918681
31;108,429447677164
31;124,979362480287
32;125,034213820733
32;137,315547172102
32;113,140846171954
32;116,831539493064
32;128,913047230249
32;117,984077220884
33;112,612457525928
33;141,398630923686
33;117,793338451013
33;132,027250521433
33;115,171170801449
33;122,978844249091
34;101,326332821598
34;111,427918938576
34;131,309462657754
34;115,182230890476
34;120,097863620098
34;118,701882167542
35;125,483565559813
35;123,362545070946
35;131,857143419599
35;133,088207877953
35;117,340280837147
35;114,13286979903
36;115,354679502764
36;127,288044500081
36;118,569909684568
36;126,701361692487
36;107,544177049402
36;104,885010928919
37;118,480520511251
37;118,15070171096
37;123,523793918493
37;112,336157197793
37;114,09170682184
37;100,79011584463
38;115,182518804637
38;133,027734120802
38;110,178794282337
38;126,118408029614
38;118,72904129711
38;114,107275670961
39;106,084208734942
39;111,87702023502
39;116,084600865233
39;113,577608453213
39;131,279532571306
39;116,938499612638
40;134,432193532313
40;120,323919781054
40;113,926807616021
40;127,841785586904
40;112,19818771835
40;117,437762373685
41;110,295848357268
41;117,964357712843
41;134,281342045199
41;124,746827331246
41;96,4854214556829
41;118,353452057339
42;122,534678998286
42;126,677371353638
42;133,916236707149
42;136,55988193875
42;113,840488513703
42;127,900286680039
43;117,150777640271
43;116,867752043109
43;125,870557625401
43;122,472709216431
43;136,382197651866
43;103,886237171911
44;138,944038560606
44;122,133408817193
44;111,36470764944
44;128,742774689021
44;136,36840895939
44;111,798581691614
45;108,082107456843
45;117,230178984708
45;112,218083515506
45;121,333657075516
45;117,90590248715
45;115,817413461966
46;121,95386934229
46;109,787962008888
46;139,327162941011
46;129,050915921607
46;136,600005774642
46;132,386753881992
47;108,889313692725
47;102,750348124547
47;98,4910727890291
47;112,76916729122
47;121,21378124007
47;99,9695796104473
48;120,711155705102
48;126,886981521252
48;136,114796283391
48;124,855299598141
48;110,524448742664
48;121,143385261056
49;120,102660103211
49;114,755831699577
49;130,48090021952
49;120,957329121101
49;128,261146347098
49;137,288220542031
50;109,080041206972
